station_location,kjas,rh,date,hour_temp_taken
"JASPER CO BELL FIELD AIRPORT, TX US",84,15,2023-04-01,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",81,79,2023-04-02,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",84,70,2023-04-03,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",81,84,2023-04-04,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",64,100,2023-04-05,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",59,100,2023-04-06,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",54,NA,2023-04-07,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",72,78,2023-04-08,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",66,83,2023-04-09,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",68,73,2023-04-10,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",75,47,2023-04-11,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",73,47,2023-04-12,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",73,47,2023-04-13,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",81,58,2023-04-14,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",88,55,2023-04-15,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",72,27,2023-04-16,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",79,20,2023-04-17,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",70,88,2023-04-18,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",81,58,2023-04-19,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",77,74,2023-04-20,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",72,88,2023-04-21,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",79,21,2023-04-22,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",59,77,2023-04-23,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",68,49,2023-04-24,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",70,78,2023-04-25,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",77,74,2023-04-26,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",73,74,2023-04-27,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",81,51,2023-04-28,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",59,88,2023-04-29,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",82,28,2023-04-30,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",81,26,2023-05-01,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",82,30,2023-05-02,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",84,33,2023-05-03,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",82,51,2023-05-04,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",88,75,2023-05-05,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",86,84,2023-05-06,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",77,94,2023-05-07,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",73,100,2023-05-08,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",68,100,2023-05-09,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",70,100,2023-05-10,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",86,75,2023-05-11,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",88,66,2023-05-12,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",88,55,2023-05-13,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",73,94,2023-05-14,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",86,62,2023-05-15,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",86,62,2023-05-16,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",81,62,2023-05-17,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",88,43,2023-05-18,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",90,52,2023-05-19,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",82,79,2023-05-20,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",75,78,2023-05-21,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",81,51,2023-05-22,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",81,70,2023-05-23,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",84,62,2023-05-24,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",84,48,2023-05-25,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",86,43,2023-05-26,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",86,40,2023-05-27,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",88,35,2023-05-28,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",82,55,2023-05-29,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",77,79,2023-05-30,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",79,74,2023-05-31,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",88,46,2023-06-01,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",90,52,2023-06-02,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",73,89,2023-06-03,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",72,100,2023-06-04,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",84,58,2023-06-05,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",86,49,2023-06-06,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",88,52,2023-06-07,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,34,2023-06-08,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,44,2023-06-09,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",90,59,2023-06-10,14:35:00
"JASPER CO BELL FIELD AIRPORT, TX US",90,71,2023-06-11,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,63,2023-06-12,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,56,2023-06-13,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,59,2023-06-14,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,67,2023-06-15,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,63,2023-06-16,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,71,2023-06-17,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,67,2023-06-18,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,63,2023-06-19,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,67,2023-06-20,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,63,2023-06-21,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",88,79,2023-06-22,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",91,67,2023-06-23,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",95,56,2023-06-24,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",93,63,2023-06-25,14:55:00
"JASPER CO BELL FIELD AIRPORT, TX US",97,53,2023-06-26,14:55:00
