station_location,klxy,rh,date,hour_temp_taken
"MEXIA LIMESTONE CO AIRPORT, TX US",74,28,2023-04-01,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",76,76,2023-04-02,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",89,52,2023-04-03,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",83,59,2023-04-04,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",68,35,2023-04-05,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",51,99,2023-04-06,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",53,98,2023-04-07,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",68,68,2023-04-08,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",69,66,2023-04-09,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",69,60,2023-04-10,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",74,45,2023-04-11,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",76,45,2023-04-12,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",77,40,2023-04-13,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",75,72,2023-04-14,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",83,44,2023-04-15,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",70,30,2023-04-16,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",76,24,2023-04-17,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",72,70,2023-04-18,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",80,63,2023-04-19,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",81,74,2023-04-20,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",74,56,2023-04-21,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",74,40,2023-04-22,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",57,76,2023-04-23,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",69,53,2023-04-24,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",74,64,2023-04-25,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",76,76,2023-04-26,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",NA,NA,2023-04-27,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",73,71,2023-04-28,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",69,43,2023-04-29,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",78,32,2023-05-01,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",81,53,2023-05-02,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",82,52,2023-05-03,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",76,80,2023-05-04,14:55:00
"MEXIA LIMESTONE CO AIRPORT, TX US",90,63,2023-05-05,14:55:00
