station_location,kpsn,rh,date,hour_temp_taken
"PALESTINE MUNICIPAL AIRPORT, TX US",77,21,2023-04-01,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",77,74,2023-04-02,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",86,62,2023-04-03,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",81,70,2023-04-04,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",66,49,2023-04-05,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",52,100,2023-04-06,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",52,100,2023-04-07,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",70,69,2023-04-08,14:35:00
"PALESTINE MUNICIPAL AIRPORT, TX US",72,61,2023-04-09,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",72,57,2023-04-10,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",75,41,2023-04-11,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",73,50,2023-04-12,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",77,34,2023-04-13,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",79,65,2023-04-14,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",84,62,2023-04-15,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",70,31,2023-04-16,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",77,22,2023-04-17,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",68,83,2023-04-18,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",81,58,2023-04-19,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",79,79,2023-04-20,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",73,69,2023-04-21,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",75,31,2023-04-22,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",57,82,2023-04-23,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",70,50,2023-04-24,14:35:00
"PALESTINE MUNICIPAL AIRPORT, TX US",70,69,2023-04-25,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",73,78,2023-04-26,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",70,60,2023-04-27,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",77,57,2023-04-28,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",66,60,2023-04-29,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",84,31,2023-04-30,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",79,24,2023-05-01,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",82,42,2023-05-02,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",84,37,2023-05-03,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",77,79,2023-05-04,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",90,63,2023-05-05,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",86,66,2023-05-06,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",84,58,2023-05-07,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",84,74,2023-05-08,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",82,58,2023-05-09,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",70,94,2023-05-10,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",84,74,2023-05-11,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",84,70,2023-05-12,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",86,55,2023-05-13,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",70,100,2023-05-14,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",81,79,2023-05-15,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",79,70,2023-05-16,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",81,54,2023-05-17,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",86,46,2023-05-18,14:55:00
"PALESTINE MUNICIPAL AIRPORT, TX US",90,49,2023-05-19,14:55:00
