station_location,kskf,rh,date,hour_temp_taken
"SAN ANTONIO KELLY FIELD AFB, TX US",87,15,2023-04-01,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",88,47,2023-04-02,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",92,49,2023-04-03,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",86,56,2023-04-04,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",72,20,2023-04-05,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",54,89,2023-04-06,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",53,98,2023-04-07,14:57:00
"SAN ANTONIO KELLY FIELD AFB, TX US",73,90,2023-04-08,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",68,77,2023-04-09,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",71,70,2023-04-10,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",77,45,2023-04-11,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",78,36,2023-04-12,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",80,37,2023-04-13,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",82,63,2023-04-14,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",92,36,2023-04-15,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",76,19,2023-04-16,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",81,22,2023-04-17,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",81,59,2023-04-18,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",80,66,2023-04-19,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",89,52,2023-04-20,14:57:00
"SAN ANTONIO KELLY FIELD AFB, TX US",82,44,2023-04-21,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",79,60,2023-04-22,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",63,64,2023-04-23,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",69,65,2023-04-24,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",76,73,2023-04-25,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",84,58,2023-04-26,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",80,38,2023-04-27,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",85,60,2023-04-28,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",77,24,2023-04-29,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",88,20,2023-04-30,14:57:00
"SAN ANTONIO KELLY FIELD AFB, TX US",83,48,2023-05-01,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",79,63,2023-05-02,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",83,45,2023-05-03,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",83,64,2023-05-04,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",94,47,2023-05-05,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",86,75,2023-05-06,14:56:00
"SAN ANTONIO KELLY FIELD AFB, TX US",79,68,2023-05-07,14:58:00
"SAN ANTONIO KELLY FIELD AFB, TX US",89,56,2023-05-08,14:59:00
"SAN ANTONIO KELLY FIELD AFB, TX US",70,93,2023-05-09,14:59:00
"SAN ANTONIO KELLY FIELD AFB, TX US",80,76,2023-05-10,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",87,65,2023-05-11,14:59:00
"SAN ANTONIO KELLY FIELD AFB, TX US",85,70,2023-05-12,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",76,67,2023-05-13,14:55:00
"SAN ANTONIO KELLY FIELD AFB, TX US",85,54,2023-05-14,14:55:00
