date,unit_name,indoor_temp,station_code,station_temp,rh,difference,status
2023-04-01,Lewis,79.8,KJAS,84,15,4.200000000000003,inactive
2023-04-02,Lewis,78.8,KJAS,81,79,2.200000000000003,inactive
2023-04-03,Lewis,81.3,KJAS,84,70,2.700000000000003,inactive
2023-04-04,Lewis,79.4,KJAS,81,84,1.5999999999999943,inactive
2023-04-05,Lewis,74.9,KJAS,64,100,10.900000000000006,inactive
2023-04-06,Lewis,70.6,KJAS,59,100,11.599999999999994,inactive
2023-04-07,Lewis,63.9,KJAS,54,NA,9.899999999999999,inactive
2023-04-08,Lewis,75.8,KJAS,72,78,3.799999999999997,inactive
2023-04-09,Lewis,71.2,KJAS,66,83,5.200000000000003,inactive
2023-04-10,Lewis,71.6,KJAS,68,73,3.5999999999999943,inactive
2023-04-11,Lewis,74.9,KJAS,75,47,0.09999999999999432,inactive
2023-04-12,Lewis,75.6,KJAS,73,47,2.5999999999999943,inactive
2023-04-13,Lewis,78.5,KJAS,73,47,5.5,inactive
2023-04-14,Lewis,79.8,KJAS,81,58,1.2000000000000028,inactive
2023-04-15,Lewis,82.2,KJAS,88,55,5.799999999999997,inactive
2023-04-16,Lewis,75,KJAS,72,27,3,inactive
2023-04-17,Lewis,78,KJAS,79,20,1,inactive
2023-04-18,Lewis,73.4,KJAS,70,88,3.4000000000000057,inactive
2023-04-19,Lewis,83,KJAS,81,58,2,inactive
2023-04-20,Lewis,79.7,KJAS,77,74,2.700000000000003,inactive
2023-04-21,Lewis,76.9,KJAS,72,88,4.900000000000006,inactive
2023-04-22,Lewis,79.4,KJAS,79,21,0.4000000000000057,inactive
2023-04-23,Lewis,73.8,KJAS,59,77,14.799999999999997,inactive
2023-04-24,Lewis,77.3,KJAS,68,49,9.299999999999997,inactive
2023-04-25,Lewis,80.8,KJAS,70,78,10.799999999999997,inactive
2023-04-26,Lewis,77.1,KJAS,77,74,0.09999999999999432,inactive
2023-04-27,Lewis,74.3,KJAS,73,74,1.2999999999999972,inactive
2023-04-28,Lewis,78.4,KJAS,81,51,2.5999999999999943,inactive
2023-04-29,Lewis,72.2,KJAS,59,88,13.200000000000003,inactive
2023-04-30,Lewis,79.8,KJAS,82,28,2.200000000000003,inactive
2023-05-01,Lewis,78.8,KJAS,81,26,2.200000000000003,inactive
2023-05-02,Lewis,78.5,KJAS,82,30,3.5,inactive
2023-05-03,Lewis,81.5,KJAS,84,33,2.5,inactive
2023-05-04,Lewis,81.1,KJAS,82,51,0.9000000000000057,inactive
2023-05-05,Lewis,82.8,KJAS,88,75,5.200000000000003,inactive
2023-05-06,Lewis,87.9,KJAS,86,84,1.9000000000000057,inactive
2023-05-07,Lewis,78.9,KJAS,77,94,1.9000000000000057,inactive
2023-05-08,Lewis,78.8,KJAS,73,100,5.799999999999997,inactive
2023-05-09,Lewis,74.6,KJAS,68,100,6.599999999999994,inactive
2023-05-10,Lewis,76.8,KJAS,70,100,6.799999999999997,inactive
2023-05-11,Lewis,81.7,KJAS,86,75,4.299999999999997,inactive
2023-05-12,Lewis,82.4,KJAS,88,66,5.599999999999994,inactive
2023-05-13,Lewis,89,KJAS,88,55,1,inactive
2023-05-14,Lewis,79.9,KJAS,73,94,6.900000000000006,inactive
2023-05-15,Lewis,82.4,KJAS,86,62,3.5999999999999943,inactive
