date,unit_name,indoor_temp,station_code,station_temp,rh,difference,status
2023-04-01,Memorial,79.6,KLVJ,88,21,8.400000000000006,inactive
2023-04-02,Memorial,78.8,KLVJ,84,59,5.200000000000003,inactive
2023-04-03,Memorial,79.3,KLVJ,83,63,3.700000000000003,inactive
2023-04-04,Memorial,78.7,KLVJ,82,74,3.299999999999997,inactive
2023-04-05,Memorial,79.7,KLVJ,74,82,5.700000000000003,inactive
2023-04-06,Memorial,71.9,KLVJ,69,81,2.9000000000000057,inactive
2023-04-07,Memorial,67.5,KLVJ,61,87,6.5,inactive
2023-04-08,Memorial,73.6,KLVJ,67,71,6.599999999999994,inactive
2023-04-09,Memorial,71.4,KLVJ,75,58,3.5999999999999943,inactive
2023-04-10,Memorial,69.8,KLVJ,69,70,0.7999999999999972,inactive
2023-04-11,Memorial,71.1,KLVJ,75,48,3.9000000000000057,inactive
2023-04-12,Memorial,74.4,KLVJ,78,42,3.5999999999999943,inactive
2023-04-13,Memorial,74.2,KLVJ,76,54,1.7999999999999972,inactive
2023-04-14,Memorial,75.5,KLVJ,76,79,0.5,inactive
2023-04-15,Memorial,79,KLVJ,89,53,10,inactive
2023-04-16,Memorial,79.6,KLVJ,78,19,1.5999999999999943,inactive
2023-04-17,Memorial,73.5,KLVJ,77,26,3.5,inactive
2023-04-18,Memorial,72.3,KLVJ,80,52,7.700000000000003,inactive
2023-04-19,Memorial,77.1,KLVJ,82,53,4.900000000000006,inactive
2023-04-20,Memorial,77.9,KLVJ,79,69,1.0999999999999943,inactive
2023-04-21,Memorial,77.8,KLVJ,82,51,4.200000000000003,inactive
2023-04-22,Memorial,77.4,KLVJ,78,35,0.5999999999999943,inactive
2023-04-23,Memorial,75.7,KLVJ,61,78,14.700000000000003,inactive
2023-04-24,Memorial,76.8,KLVJ,73,51,3.799999999999997,inactive
2023-04-25,Memorial,77.2,KLVJ,79,58,1.7999999999999972,inactive
2023-04-26,Memorial,73.6,KLVJ,82,65,8.400000000000006,inactive
2023-04-27,Memorial,76.5,KLVJ,79,60,2.5,inactive
2023-04-28,Memorial,78.2,KLVJ,84,40,5.799999999999997,inactive
2023-04-29,Memorial,70,KLVJ,71,46,1,inactive
2023-04-30,Memorial,71.5,KLVJ,85,30,13.5,inactive
2023-05-01,Memorial,74.6,KLVJ,83,51,8.400000000000006,inactive
2023-05-02,Memorial,75.5,KLVJ,79,60,3.5,inactive
2023-05-03,Memorial,74.6,KLVJ,84,38,9.400000000000006,inactive
2023-05-04,Memorial,79.3,KLVJ,82,67,2.700000000000003,inactive
2023-05-05,Memorial,81.3,KLVJ,91,54,9.700000000000003,inactive
2023-05-06,Memorial,83.4,KLVJ,88,66,4.599999999999994,inactive
2023-05-07,Memorial,80.5,KLVJ,78,90,2.5,inactive
2023-05-08,Memorial,82.8,KLVJ,85,63,2.200000000000003,inactive
2023-05-09,Memorial,77.3,KLVJ,77,71,0.29999999999999716,inactive
2023-05-10,Memorial,74.3,KLVJ,75,82,0.7000000000000028,inactive
2023-05-11,Memorial,79.4,KLVJ,87,63,7.599999999999994,inactive
2023-05-12,Memorial,83.1,KLVJ,87,67,3.9000000000000057,inactive
2023-05-13,Memorial,80.3,KLVJ,83,72,2.700000000000003,inactive
2023-05-14,Memorial,81.6,KLVJ,85,70,3.4000000000000057,inactive
2023-05-15,Memorial,80.3,KLVJ,88,55,7.700000000000003,inactive
