date,unit_name,indoor_temp,station_code,station_temp,difference,status
2023-04-01,Ramsey,82.9,KLVJ,88,5.099999999999994,inactive
2023-04-02,Ramsey,82.5,KLVJ,84,1.5,inactive
2023-04-03,Ramsey,82.6,KLVJ,83,0.4000000000000057,inactive
2023-04-04,Ramsey,81.4,KLVJ,82,0.5999999999999943,inactive
2023-04-05,Ramsey,82.2,KLVJ,74,8.200000000000003,inactive
2023-04-06,Ramsey,74.2,KLVJ,69,5.200000000000003,inactive
2023-04-07,Ramsey,73.2,KLVJ,61,12.200000000000003,inactive
2023-04-08,Ramsey,67.4,KLVJ,67,0.4000000000000057,inactive
2023-04-09,Ramsey,73.2,KLVJ,75,1.7999999999999972,inactive
2023-04-10,Ramsey,70.6,KLVJ,69,1.5999999999999943,inactive
2023-04-11,Ramsey,73.2,KLVJ,75,1.7999999999999972,inactive
2023-04-12,Ramsey,74.5,KLVJ,78,3.5,inactive
2023-04-13,Ramsey,73.9,KLVJ,76,2.0999999999999943,inactive
2023-04-14,Ramsey,75.8,KLVJ,76,0.20000000000000284,inactive
2023-04-15,Ramsey,81.8,KLVJ,89,7.200000000000003,inactive
2023-04-16,Ramsey,76.4,KLVJ,78,1.5999999999999943,inactive
2023-04-17,Ramsey,76.5,KLVJ,77,0.5,inactive
2023-04-18,Ramsey,76.5,KLVJ,80,3.5,inactive
2023-04-19,Ramsey,79.2,KLVJ,82,2.799999999999997,inactive
2023-04-20,Ramsey,78.6,KLVJ,79,0.4000000000000057,inactive
2023-04-21,Ramsey,78.4,KLVJ,82,3.5999999999999943,inactive
2023-04-22,Ramsey,77.8,KLVJ,78,0.20000000000000284,inactive
2023-04-23,Ramsey,70.3,KLVJ,61,9.299999999999997,inactive
2023-04-24,Ramsey,73.8,KLVJ,73,0.7999999999999972,inactive
2023-04-25,Ramsey,76,KLVJ,79,3,inactive
2023-04-26,Ramsey,82,KLVJ,82,0,inactive
2023-04-27,Ramsey,77.6,KLVJ,79,1.4000000000000057,inactive
2023-04-28,Ramsey,79.9,KLVJ,84,4.099999999999994,inactive
2023-04-29,Ramsey,78.3,KLVJ,71,7.299999999999997,inactive
2023-04-30,Ramsey,76.2,KLVJ,85,8.799999999999997,inactive
2023-05-01,Ramsey,78.5,KLVJ,83,4.5,inactive
2023-05-02,Ramsey,78.1,KLVJ,79,0.9000000000000057,inactive
2023-05-03,Ramsey,81.9,KLVJ,84,2.0999999999999943,inactive
2023-05-04,Ramsey,81.3,KLVJ,82,0.7000000000000028,inactive
2023-05-05,Ramsey,84,KLVJ,91,7,inactive
2023-05-06,Ramsey,85.6,KLVJ,88,2.4000000000000057,inactive
2023-05-07,Ramsey,81.7,KLVJ,78,3.700000000000003,inactive
2023-05-08,Ramsey,90.6,KLVJ,85,5.599999999999994,inactive
2023-05-09,Ramsey,78.1,KLVJ,77,1.0999999999999943,inactive
2023-05-10,Ramsey,76.7,KLVJ,75,1.7000000000000028,inactive
2023-05-11,Ramsey,82.8,KLVJ,87,4.200000000000003,inactive
2023-05-12,Ramsey,84.7,KLVJ,87,2.299999999999997,inactive
2023-05-13,Ramsey,82.1,KLVJ,83,0.9000000000000057,inactive
2023-05-14,Ramsey,81.3,KLVJ,85,3.700000000000003,inactive
2023-05-15,Ramsey,83.6,KLVJ,88,4.400000000000006,inactive
2023-05-16,Ramsey,85,KLVJ,80,5,inactive
2023-05-17,Ramsey,82.2,KLVJ,86,3.799999999999997,inactive
2023-05-18,Ramsey,83.8,KLVJ,89,5.200000000000003,inactive
2023-05-19,Ramsey,86,KLVJ,91,5,inactive
2023-05-20,Ramsey,85.4,KLVJ,91,5.599999999999994,inactive
2023-05-21,Ramsey,81.4,KLVJ,81,0.4000000000000057,inactive
2023-05-22,Ramsey,84.6,KLVJ,86,1.4000000000000057,inactive
2023-05-23,Ramsey,84.2,KLVJ,89,4.799999999999997,inactive
2023-05-24,Ramsey,88.5,KLVJ,89,0.5,inactive
2023-05-25,Ramsey,84.1,KLVJ,88,3.9000000000000057,inactive
2023-05-26,Ramsey,85.1,KLVJ,89,3.9000000000000057,inactive
2023-05-27,Ramsey,86.5,KLVJ,89,2.5,inactive
2023-05-28,Ramsey,84.3,KLVJ,85,0.7000000000000028,inactive
2023-05-29,Ramsey,82.4,KLVJ,87,4.599999999999994,inactive
2023-05-30,Ramsey,82.5,KLVJ,90,7.5,inactive
2023-05-31,Ramsey,84.6,KLVJ,90,5.400000000000006,inactive
2023-07-01,Ramsey,92.2,KLVJ,96,3.799999999999997,inactive
2023-07-02,Ramsey,90.2,KLVJ,90,0.20000000000000284,inactive
2023-07-03,Ramsey,91.6,KLVJ,96,4.400000000000006,inactive
2023-07-04,Ramsey,91.7,KLVJ,88,3.700000000000003,inactive
2023-07-05,Ramsey,90.2,KLVJ,95,4.799999999999997,inactive
2023-07-06,Ramsey,85.4,KLVJ,79,6.400000000000006,inactive
2023-07-07,Ramsey,87.2,KLVJ,91,3.799999999999997,inactive
2023-07-08,Ramsey,87.5,KLVJ,91,3.5,inactive
2023-07-09,Ramsey,90,KLVJ,95,5,inactive
2023-07-10,Ramsey,91.6,KLVJ,96,4.400000000000006,inactive
2023-07-11,Ramsey,91.7,KLVJ,98,6.299999999999997,inactive
2023-07-12,Ramsey,92.3,KLVJ,98,5.700000000000003,inactive
2023-07-13,Ramsey,92.6,KLVJ,97,4.400000000000006,inactive
2023-07-14,Ramsey,92.8,KLVJ,97,4.200000000000003,inactive
2023-07-15,Ramsey,93.2,KLVJ,99,5.799999999999997,inactive
2023-07-16,Ramsey,93.3,KLVJ,99,5.700000000000003,inactive
2023-07-17,Ramsey,93.1,KLVJ,98,4.900000000000006,inactive
2023-07-18,Ramsey,93.4,KLVJ,99,5.599999999999994,inactive
2023-07-19,Ramsey,94.7,KLVJ,99,4.299999999999997,inactive
2023-07-20,Ramsey,92.6,KLVJ,98,5.400000000000006,inactive
2023-07-21,Ramsey,93.2,KLVJ,97,3.799999999999997,inactive
2023-07-22,Ramsey,92.8,KLVJ,100,7.200000000000003,inactive
2023-07-23,Ramsey,93,KLVJ,94,1,inactive
2023-07-24,Ramsey,92.2,KLVJ,96,3.799999999999997,inactive
