date,unit_name,indoor_temp,station_code,station_temp,difference
2023-04-01,Stringfellow,81.3,KLVJ,88,6.700000000000003
2023-04-02,Stringfellow,82.6,KLVJ,84,1.4000000000000057
2023-04-03,Stringfellow,82.2,KLVJ,83,0.7999999999999972
2023-04-04,Stringfellow,86.2,KLVJ,82,4.200000000000003
2023-04-05,Stringfellow,78.6,KLVJ,74,4.599999999999994
2023-04-06,Stringfellow,72.5,KLVJ,69,3.5
2023-04-07,Stringfellow,70.6,KLVJ,61,9.599999999999994
2023-04-08,Stringfellow,69.6,KLVJ,67,2.5999999999999943
2023-04-09,Stringfellow,72.6,KLVJ,75,2.4000000000000057
2023-04-10,Stringfellow,72.6,KLVJ,69,3.5999999999999943
2023-04-11,Stringfellow,76.7,KLVJ,75,1.7000000000000028
2023-04-12,Stringfellow,75.2,KLVJ,78,2.799999999999997
2023-04-13,Stringfellow,73.1,KLVJ,76,2.9000000000000057
2023-04-14,Stringfellow,77.9,KLVJ,76,1.9000000000000057
2023-04-15,Stringfellow,80.1,KLVJ,89,8.900000000000006
2023-04-16,Stringfellow,75.4,KLVJ,78,2.5999999999999943
2023-04-17,Stringfellow,74.5,KLVJ,77,2.5
2023-04-18,Stringfellow,75,KLVJ,80,5
2023-04-19,Stringfellow,78.2,KLVJ,82,3.799999999999997
2023-04-20,Stringfellow,75.1,KLVJ,79,3.9000000000000057
2023-04-21,Stringfellow,77.1,KLVJ,82,4.900000000000006
2023-04-22,Stringfellow,77.7,KLVJ,78,0.29999999999999716
2023-04-23,Stringfellow,71.5,KLVJ,61,10.5
2023-04-24,Stringfellow,74.2,KLVJ,73,1.2000000000000028
2023-04-25,Stringfellow,76.5,KLVJ,79,2.5
2023-04-26,Stringfellow,80,KLVJ,82,2
2023-04-27,Stringfellow,77.7,KLVJ,79,1.2999999999999972
2023-04-28,Stringfellow,82.8,KLVJ,84,1.2000000000000028
2023-04-29,Stringfellow,71,KLVJ,71,0
2023-04-30,Stringfellow,79.1,KLVJ,85,5.900000000000006
2023-05-01,Stringfellow,78.7,KLVJ,83,4.299999999999997
2023-05-02,Stringfellow,79,KLVJ,79,0
2023-05-03,Stringfellow,79.7,KLVJ,84,4.299999999999997
2023-05-04,Stringfellow,78.6,KLVJ,82,3.4000000000000057
2023-05-05,Stringfellow,84.1,KLVJ,91,6.900000000000006
2023-05-06,Stringfellow,85.9,KLVJ,88,2.0999999999999943
2023-05-07,Stringfellow,80.6,KLVJ,78,2.5999999999999943
2023-05-08,Stringfellow,86,KLVJ,85,1
2023-05-09,Stringfellow,78.4,KLVJ,77,1.4000000000000057
2023-05-10,Stringfellow,71.2,KLVJ,75,3.799999999999997
2023-05-11,Stringfellow,86,KLVJ,87,1
2023-05-12,Stringfellow,84,KLVJ,87,3
2023-05-13,Stringfellow,83.6,KLVJ,83,0.5999999999999943
2023-05-14,Stringfellow,79.7,KLVJ,85,5.299999999999997
2023-05-15,Stringfellow,82.9,KLVJ,88,5.099999999999994
2023-05-16,Stringfellow,81.5,KLVJ,80,1.5
2023-05-17,Stringfellow,81.5,KLVJ,86,4.5
2023-05-18,Stringfellow,82,KLVJ,89,7
2023-05-19,Stringfellow,81.6,KLVJ,91,9.400000000000006
2023-05-20,Stringfellow,85.6,KLVJ,91,5.400000000000006
2023-05-21,Stringfellow,82.7,KLVJ,81,1.7000000000000028
2023-05-22,Stringfellow,80.5,KLVJ,86,5.5
2023-05-23,Stringfellow,84,KLVJ,89,5
2023-05-24,Stringfellow,83.6,KLVJ,89,5.400000000000006
2023-05-25,Stringfellow,83.8,KLVJ,88,4.200000000000003
2023-05-26,Stringfellow,83.6,KLVJ,89,5.400000000000006
2023-05-27,Stringfellow,82.3,KLVJ,89,6.700000000000003
2023-05-28,Stringfellow,81.5,KLVJ,85,3.5
2023-05-29,Stringfellow,82.7,KLVJ,87,4.299999999999997
2023-05-30,Stringfellow,81.5,KLVJ,90,8.5
2023-05-31,Stringfellow,84.5,KLVJ,90,5.5
2023-06-01,Stringfellow,87.5,KLVJ,89,1.5
