date,unit_name,indoor_temp,station_code,station_temp,difference
2023-04-01,Terrell,80.8,KLVJ,88,7.200000000000003
2023-04-02,Terrell,83,KLVJ,84,1
2023-04-03,Terrell,81.1,KLVJ,83,1.9000000000000057
2023-04-04,Terrell,81.1,KLVJ,82,0.9000000000000057
2023-04-05,Terrell,79.6,KLVJ,74,5.599999999999994
2023-04-06,Terrell,72.5,KLVJ,69,3.5
2023-04-07,Terrell,72,KLVJ,61,11
2023-04-08,Terrell,70.4,KLVJ,67,3.4000000000000057
2023-04-09,Terrell,76.3,KLVJ,75,1.2999999999999972
2023-04-10,Terrell,72.6,KLVJ,69,3.5999999999999943
2023-04-11,Terrell,76,KLVJ,75,1
2023-04-12,Terrell,76.3,KLVJ,78,1.7000000000000028
2023-04-13,Terrell,75.5,KLVJ,76,0.5
2023-04-14,Terrell,77,KLVJ,76,1
2023-04-15,Terrell,85.2,KLVJ,89,3.799999999999997
2023-04-16,Terrell,76.6,KLVJ,78,1.4000000000000057
2023-04-17,Terrell,75.5,KLVJ,77,1.5
2023-04-18,Terrell,77.6,KLVJ,80,2.4000000000000057
2023-04-19,Terrell,77.5,KLVJ,82,4.5
2023-04-20,Terrell,76.2,KLVJ,79,2.799999999999997
2023-04-21,Terrell,80,KLVJ,82,2
2023-04-22,Terrell,76.7,KLVJ,78,1.2999999999999972
2023-04-23,Terrell,68.2,KLVJ,61,7.200000000000003
2023-04-24,Terrell,73.5,KLVJ,73,0.5
2023-04-25,Terrell,77.3,KLVJ,79,1.7000000000000028
2023-04-26,Terrell,78.1,KLVJ,82,3.9000000000000057
2023-04-27,Terrell,77.9,KLVJ,79,1.0999999999999943
2023-04-28,Terrell,80.8,KLVJ,84,3.200000000000003
2023-04-29,Terrell,72.7,KLVJ,71,1.7000000000000028
2023-04-30,Terrell,78.3,KLVJ,85,6.700000000000003
2023-05-01,Terrell,79.2,KLVJ,83,3.799999999999997
2023-05-02,Terrell,78.4,KLVJ,79,0.5999999999999943
2023-05-03,Terrell,78.7,KLVJ,84,5.299999999999997
2023-05-04,Terrell,76.6,KLVJ,82,5.400000000000006
2023-05-05,Terrell,82.8,KLVJ,91,8.200000000000003
2023-05-06,Terrell,83.8,KLVJ,88,4.200000000000003
2023-05-07,Terrell,77.3,KLVJ,78,0.7000000000000028
2023-05-08,Terrell,80.7,KLVJ,85,4.299999999999997
2023-05-09,Terrell,76.9,KLVJ,77,0.09999999999999432
2023-05-10,Terrell,76,KLVJ,75,1
2023-05-11,Terrell,83.1,KLVJ,87,3.9000000000000057
2023-05-12,Terrell,84.9,KLVJ,87,2.0999999999999943
2023-05-13,Terrell,83.9,KLVJ,83,0.9000000000000057
2023-05-14,Terrell,80,KLVJ,85,5
2023-05-15,Terrell,84.8,KLVJ,88,3.200000000000003
2023-05-16,Terrell,80.2,KLVJ,80,0.20000000000000284
2023-05-17,Terrell,81.1,KLVJ,86,4.900000000000006
2023-05-18,Terrell,84.3,KLVJ,89,4.700000000000003
2023-05-19,Terrell,82.7,KLVJ,91,8.299999999999997
2023-05-20,Terrell,81.2,KLVJ,91,9.799999999999997
2023-05-21,Terrell,80.8,KLVJ,81,0.20000000000000284
2023-05-22,Terrell,81.3,KLVJ,86,4.700000000000003
2023-05-23,Terrell,82.8,KLVJ,89,6.200000000000003
2023-05-24,Terrell,81.2,KLVJ,89,7.799999999999997
2023-05-25,Terrell,83.9,KLVJ,88,4.099999999999994
2023-05-26,Terrell,81.5,KLVJ,89,7.5
2023-05-27,Terrell,81.4,KLVJ,89,7.599999999999994
2023-05-28,Terrell,82.5,KLVJ,85,2.5
2023-05-29,Terrell,82.8,KLVJ,87,4.200000000000003
2023-05-30,Terrell,78.4,KLVJ,90,11.599999999999994
2023-05-31,Terrell,83.6,KLVJ,90,6.400000000000006
2023-06-01,Terrell,85.2,KLVJ,89,3.799999999999997
2023-06-02,Terrell,85.6,KLVJ,89,3.4000000000000057
2023-06-03,Terrell,78.6,KLVJ,93,14.400000000000006
2023-06-04,Terrell,81.2,KLVJ,84,2.799999999999997
2023-06-05,Terrell,76.2,KLVJ,75,1.2000000000000028
2023-06-06,Terrell,79.4,KLVJ,79,0.4000000000000057
2023-06-07,Terrell,81.6,KLVJ,89,7.400000000000006
2023-06-08,Terrell,86.6,KLVJ,91,4.400000000000006
2023-06-09,Terrell,86.5,KLVJ,94,7.5
2023-06-10,Terrell,85.6,KLVJ,93,7.400000000000006
2023-06-11,Terrell,90,KLVJ,92,2
2023-06-12,Terrell,87.7,KLVJ,94,6.299999999999997
2023-06-13,Terrell,90.6,KLVJ,92,1.4000000000000057
2023-06-14,Terrell,87.3,KLVJ,94,6.700000000000003
2023-06-15,Terrell,92,KLVJ,97,5
2023-06-16,Terrell,91.6,KLVJ,94,2.4000000000000057
2023-06-17,Terrell,92.2,KLVJ,97,4.799999999999997
2023-06-18,Terrell,91.6,KLVJ,96,4.400000000000006
2023-06-19,Terrell,93.1,KLVJ,97,3.9000000000000057
2023-06-20,Terrell,93.8,KLVJ,99,5.200000000000003
2023-06-21,Terrell,91.5,KLVJ,98,6.5
2023-06-22,Terrell,88.6,KLVJ,97,8.400000000000006
2023-06-23,Terrell,93.2,KLVJ,98,4.799999999999997
2023-06-24,Terrell,94.8,KLVJ,96,1.2000000000000028
2023-06-25,Terrell,86.6,KLVJ,97,10.400000000000006
2023-06-26,Terrell,94.2,KLVJ,95,0.7999999999999972
2023-06-27,Terrell,91.1,KLVJ,99,7.900000000000006
2023-06-28,Terrell,92.3,KLVJ,98,5.700000000000003
2023-06-29,Terrell,93.7,KLVJ,97,3.299999999999997
2023-06-30,Terrell,92.7,KLVJ,97,4.299999999999997
2023-07-01,Terrell,92.4,KLVJ,96,3.5999999999999943
2023-07-02,Terrell,88.2,KLVJ,90,1.7999999999999972
2023-07-03,Terrell,93.7,KLVJ,96,2.299999999999997
2023-07-04,Terrell,88.6,KLVJ,88,0.5999999999999943
2023-07-05,Terrell,83,KLVJ,95,12
2023-07-06,Terrell,79,KLVJ,79,0
2023-07-07,Terrell,85.8,KLVJ,91,5.200000000000003
2023-07-08,Terrell,85.5,KLVJ,91,5.5
2023-07-09,Terrell,85.9,KLVJ,95,9.099999999999994
2023-07-10,Terrell,93.6,KLVJ,96,2.4000000000000057
2023-07-11,Terrell,92.4,KLVJ,98,5.599999999999994
2023-07-12,Terrell,90.3,KLVJ,98,7.700000000000003
2023-07-13,Terrell,95,KLVJ,97,2
2023-07-14,Terrell,88.6,KLVJ,97,8.400000000000006
2023-07-15,Terrell,90,KLVJ,99,9
2023-07-16,Terrell,86.1,KLVJ,99,12.900000000000006
