date,unit_name,indoor_temp,station_code,station_temp,difference,status
2023-04-01,Jordan,73.8,KPPA,70,3.799999999999997,inactive
2023-04-02,Jordan,74.8,KPPA,86,11.200000000000003,inactive
2023-04-03,Jordan,77.5,KPPA,89,11.5,inactive
2023-04-04,Jordan,76.7,KPPA,81,4.299999999999997,inactive
2023-04-05,Jordan,75.3,KPPA,54,21.299999999999997,inactive
2023-04-06,Jordan,75.9,KPPA,62,13.900000000000006,inactive
2023-04-07,Jordan,74.9,KPPA,67,7.900000000000006,inactive
2023-04-08,Jordan,75.4,KPPA,74,1.4000000000000057,inactive
2023-04-09,Jordan,75.2,KPPA,62,13.200000000000003,inactive
2023-04-10,Jordan,75.9,KPPA,81,5.099999999999994,inactive
2023-04-11,Jordan,75.2,KPPA,83,7.799999999999997,inactive
2023-04-12,Jordan,78.1,KPPA,86,7.900000000000006,inactive
2023-04-13,Jordan,76.2,KPPA,87,10.799999999999997,inactive
2023-04-14,Jordan,76.7,KPPA,86,9.299999999999997,inactive
2023-04-15,Jordan,66.5,KPPA,60,6.5,inactive
2023-04-16,Jordan,75.9,KPPA,67,8.900000000000006,inactive
2023-04-17,Jordan,75.3,KPPA,84,8.700000000000003,inactive
2023-04-18,Jordan,76.9,KPPA,91,14.099999999999994,inactive
2023-04-19,Jordan,76.8,KPPA,88,11.200000000000003,inactive
2023-04-20,Jordan,70.5,KPPA,67,3.5,inactive
2023-04-21,Jordan,72.2,KPPA,67,5.200000000000003,inactive
2023-04-22,Jordan,66.4,KPPA,46,20.400000000000006,inactive
2023-04-23,Jordan,71.2,KPPA,60,11.200000000000003,inactive
2023-04-24,Jordan,72.4,KPPA,53,19.400000000000006,inactive
2023-04-25,Jordan,73.2,KPPA,69,4.200000000000003,inactive
2023-04-26,Jordan,67.7,KPPA,51,16.700000000000003,inactive
2023-04-27,Jordan,77,KPPA,69,8,inactive
2023-04-28,Jordan,66.1,KPPA,56,10.099999999999994,inactive
2023-04-29,Jordan,69,KPPA,75,6,inactive
2023-04-30,Jordan,74.4,KPPA,73,1.4000000000000057,inactive
2023-05-01,Jordan,75.2,KPPA,75,0.20000000000000284,inactive
2023-05-02,Jordan,77.1,KPPA,77,0.09999999999999432,inactive
2023-05-03,Jordan,76.1,KPPA,79,2.9000000000000057,inactive
2023-05-04,Jordan,74.3,KPPA,78,3.700000000000003,inactive
2023-05-05,Jordan,77.3,KPPA,92,14.700000000000003,inactive
2023-05-06,Jordan,80.9,KPPA,89,8.099999999999994,inactive
2023-05-07,Jordan,81,KPPA,93,12,inactive
2023-05-08,Jordan,79.9,KPPA,85,5.099999999999994,inactive
2023-05-09,Jordan,80.7,KPPA,94,13.299999999999997,inactive
2023-05-10,Jordan,79.5,KPPA,85,5.5,inactive
2023-05-11,Jordan,78.9,KPPA,82,3.0999999999999943,inactive
2023-05-12,Jordan,78.1,KPPA,84,5.900000000000006,inactive
2023-05-13,Jordan,70.7,KPPA,58,12.700000000000003,inactive
2023-05-14,Jordan,73,KPPA,66,7,inactive
2023-05-15,Jordan,70.6,KPPA,67,3.5999999999999943,inactive
2023-05-16,Jordan,75.6,KPPA,78,2.4000000000000057,inactive
2023-05-17,Jordan,79.2,KPPA,86,6.799999999999997,inactive
2023-05-18,Jordan,74.5,KPPA,73,1.5,inactive
2023-05-19,Jordan,71.2,KPPA,58,13.200000000000003,inactive
2023-05-20,Jordan,72.2,KPPA,73,0.7999999999999972,inactive
2023-05-21,Jordan,76.4,KPPA,78,1.5999999999999943,inactive
2023-05-22,Jordan,77.8,KPPA,74,3.799999999999997,inactive
2023-05-23,Jordan,74.4,KPPA,73,1.4000000000000057,inactive
2023-05-24,Jordan,81.3,KPPA,79,2.299999999999997,inactive
2023-05-25,Jordan,75.8,KPPA,75,0.7999999999999972,inactive
2023-05-26,Jordan,79.6,KPPA,73,6.599999999999994,inactive
2023-05-27,Jordan,77.1,KPPA,74,3.0999999999999943,inactive
2023-05-28,Jordan,74.7,KPPA,76,1.2999999999999972,inactive
2023-05-29,Jordan,77.3,KPPA,82,4.700000000000003,inactive
2023-05-30,Jordan,82.5,KPPA,85,2.5,inactive
2023-05-31,Jordan,79.4,KPPA,81,1.5999999999999943,inactive
2023-06-01,Jordan,76.4,KPPA,72,4.400000000000006,inactive
2023-06-02,Jordan,77.5,KPPA,72,5.5,inactive
2023-06-03,Jordan,76.5,KPPA,75,1.5,inactive
2023-06-04,Jordan,77.4,KPPA,63,14.400000000000006,inactive
2023-06-05,Jordan,75.9,KPPA,80,4.099999999999994,inactive
2023-06-06,Jordan,81.1,KPPA,81,0.09999999999999432,inactive
2023-06-07,Jordan,80.1,KPPA,79,1.0999999999999943,inactive
2023-06-08,Jordan,82.8,KPPA,83,0.20000000000000284,inactive
2023-06-09,Jordan,81.8,KPPA,89,7.200000000000003,inactive
2023-06-10,Jordan,81.1,KPPA,82,0.9000000000000057,inactive
2023-06-11,Jordan,83.4,KPPA,81,2.4000000000000057,inactive
2023-06-12,Jordan,73.1,KPPA,64,9.099999999999994,inactive
2023-06-13,Jordan,77.6,KPPA,75,2.5999999999999943,inactive
2023-06-14,Jordan,80.5,KPPA,81,0.5,inactive
2023-06-15,Jordan,80.3,KPPA,88,7.700000000000003,inactive
2023-06-16,Jordan,81.2,KPPA,82,0.7999999999999972,inactive
2023-06-17,Jordan,83.2,KPPA,85,1.7999999999999972,inactive
2023-06-18,Jordan,81.4,KPPA,85,3.5999999999999943,inactive
2023-06-19,Jordan,87.8,KPPA,97,9.200000000000003,inactive
2023-06-20,Jordan,87.8,KPPA,99,11.200000000000003,inactive
2023-06-21,Jordan,93.8,KPPA,89,4.799999999999997,inactive
2023-06-22,Jordan,79.4,KPPA,72,7.400000000000006,inactive
2023-06-23,Jordan,78.9,KPPA,84,5.099999999999994,inactive
2023-06-24,Jordan,82.3,KPPA,NA,NA,inactive
2023-06-25,Jordan,80.8,KPPA,NA,NA,inactive
2023-06-26,Jordan,86.3,KPPA,NA,NA,inactive
2023-06-27,Jordan,84.7,KPPA,NA,NA,inactive
2023-06-28,Jordan,92.3,KPPA,NA,NA,inactive
2023-06-29,Jordan,86.4,KPPA,NA,NA,inactive
2023-06-30,Jordan,84.7,KPPA,NA,NA,inactive
2023-07-01,Jordan,79.9,KPPA,NA,NA,inactive
2023-07-02,Jordan,81.7,KPPA,NA,NA,inactive
2023-07-03,Jordan,84.2,KPPA,NA,NA,inactive
2023-07-04,Jordan,84.2,KPPA,NA,NA,inactive
2023-07-05,Jordan,86.5,KPPA,NA,NA,inactive
2023-07-06,Jordan,82.7,KPPA,NA,NA,inactive
2023-07-07,Jordan,83.3,KPPA,NA,NA,inactive
2023-07-08,Jordan,82,KPPA,NA,NA,inactive
2023-07-09,Jordan,80,KPPA,NA,NA,inactive
2023-07-10,Jordan,82.7,KPPA,NA,NA,inactive
2023-07-11,Jordan,84.3,KPPA,NA,NA,inactive
2023-07-12,Jordan,89.7,KPPA,NA,NA,inactive
2023-07-13,Jordan,88.2,KPPA,NA,NA,inactive
2023-07-14,Jordan,87.6,KPPA,NA,NA,inactive
2023-07-15,Jordan,88,KPPA,88,0,inactive
2023-07-16,Jordan,88.9,KPPA,91,2.0999999999999943,inactive
2023-07-17,Jordan,89.2,KPPA,NA,NA,inactive
2023-07-18,Jordan,89.9,KPPA,NA,NA,inactive
2023-07-19,Jordan,89.4,KPPA,NA,NA,inactive
2023-07-20,Jordan,86.3,KPPA,NA,NA,inactive
2023-07-21,Jordan,86.2,KPPA,NA,NA,inactive
2023-07-22,Jordan,82.6,KPPA,NA,NA,inactive
2023-07-23,Jordan,83.2,KPPA,NA,NA,inactive
2023-07-24,Jordan,88,KPPA,NA,NA,inactive
2023-07-25,Jordan,89.2,KPPA,NA,NA,inactive
2023-07-26,Jordan,91.2,KPPA,NA,NA,inactive
2023-07-27,Jordan,88,KPPA,NA,NA,inactive
2023-07-28,Jordan,87.3,KPPA,NA,NA,inactive
2023-07-29,Jordan,85.6,KPPA,NA,NA,inactive
2023-07-30,Jordan,89.7,KPPA,NA,NA,inactive
2023-07-31,Jordan,94.2,KPPA,NA,NA,inactive
2023-08-01,Jordan,91.6,KPPA,NA,NA,inactive
2023-08-02,Jordan,89.5,KPPA,NA,NA,inactive
2023-08-03,Jordan,93.9,KPPA,NA,NA,inactive
2023-08-04,Jordan,85.2,KPPA,NA,NA,inactive
2023-08-05,Jordan,85.4,KPPA,NA,NA,inactive
2023-08-06,Jordan,84.2,KPPA,NA,NA,inactive
2023-08-07,Jordan,83.3,KPPA,NA,NA,inactive
2023-08-08,Jordan,87,KPPA,NA,NA,inactive
2023-08-09,Jordan,86.4,KPPA,NA,NA,inactive
2023-08-10,Jordan,84.5,KPPA,NA,NA,inactive
2023-08-11,Jordan,88.6,KPPA,NA,NA,inactive
2023-08-12,Jordan,86.1,KPPA,NA,NA,inactive
2023-08-13,Jordan,86.2,KPPA,NA,NA,inactive
2023-08-14,Jordan,78.9,KPPA,NA,NA,inactive
2023-08-15,Jordan,85.3,KPPA,NA,NA,inactive
2023-08-16,Jordan,84.3,KPPA,NA,NA,inactive
2023-08-17,Jordan,89.6,KPPA,NA,NA,inactive
2023-08-18,Jordan,86.4,KPPA,NA,NA,inactive
2023-08-19,Jordan,88.5,KPPA,NA,NA,inactive
2023-08-20,Jordan,86.8,KPPA,NA,NA,inactive
2023-08-21,Jordan,90.6,KPPA,NA,NA,inactive
2023-08-22,Jordan,90.3,KPPA,NA,NA,inactive
2023-08-23,Jordan,87.9,KPPA,NA,NA,inactive
2023-08-24,Jordan,90.8,KPPA,NA,NA,inactive
2023-08-25,Jordan,88,KPPA,NA,NA,inactive
2023-08-26,Jordan,81.3,KPPA,NA,NA,inactive
2023-08-27,Jordan,80.5,KPPA,NA,NA,inactive
2023-08-28,Jordan,83.1,KPPA,NA,NA,inactive
2023-08-29,Jordan,78.5,KPPA,NA,NA,inactive
2023-08-30,Jordan,84.3,KPPA,NA,NA,inactive
2023-08-31,Jordan,82.7,KPPA,NA,NA,inactive
2023-09-01,Jordan,88.5,KPPA,NA,NA,inactive
2023-09-02,Jordan,88.3,KPPA,NA,NA,inactive
2023-09-03,Jordan,85.4,KPPA,NA,NA,inactive
2023-09-04,Jordan,87.5,KPPA,NA,NA,inactive
2023-09-05,Jordan,83.5,KPPA,NA,NA,inactive
2023-09-06,Jordan,83.7,KPPA,NA,NA,inactive
2023-09-07,Jordan,88.1,KPPA,NA,NA,inactive
2023-09-08,Jordan,87.3,KPPA,NA,NA,inactive
2023-09-09,Jordan,84.7,KPPA,NA,NA,inactive
2023-09-10,Jordan,83.2,KPPA,NA,NA,inactive
2023-09-11,Jordan,79.7,KPPA,NA,NA,inactive
2023-09-12,Jordan,74.4,KPPA,NA,NA,inactive
2023-09-13,Jordan,75.3,KPPA,NA,NA,inactive
2023-09-14,Jordan,74.6,KPPA,NA,NA,inactive
2023-09-15,Jordan,76.6,KPPA,NA,NA,inactive
2023-09-16,Jordan,81.4,KPPA,NA,NA,inactive
2023-09-17,Jordan,81.3,KPPA,NA,NA,inactive
2023-09-18,Jordan,80.9,KPPA,NA,NA,inactive
2023-09-19,Jordan,78.2,KPPA,NA,NA,inactive
2023-09-20,Jordan,80.4,KPPA,NA,NA,inactive
2023-09-21,Jordan,82.8,KPPA,NA,NA,inactive
2023-09-22,Jordan,81.2,KPPA,NA,NA,inactive
2023-09-23,Jordan,81,KPPA,NA,NA,inactive
2023-09-24,Jordan,79.4,KPPA,NA,NA,inactive
2023-09-25,Jordan,78.6,KPPA,NA,NA,inactive
2023-09-26,Jordan,80.5,KPPA,NA,NA,inactive
2023-09-27,Jordan,79.7,KPPA,NA,NA,inactive
2023-09-28,Jordan,81.6,KPPA,NA,NA,inactive
2023-09-29,Jordan,82.2,KPPA,NA,NA,inactive
2023-09-30,Jordan,80.6,KPPA,NA,NA,inactive
