date,unit_name,indoor_temp,station_code,station_temp,rh,difference,status
2023-04-01,Coffield,76.4,KPSN,77,21,0.5999999999999943,inactive
2023-04-02,Coffield,76.1,KPSN,77,74,0.9000000000000057,inactive
2023-04-03,Coffield,80.8,KPSN,86,62,5.200000000000003,inactive
2023-04-04,Coffield,82.2,KPSN,81,70,1.2000000000000028,inactive
2023-04-05,Coffield,73.8,KPSN,66,49,7.799999999999997,inactive
2023-04-06,Coffield,66.3,KPSN,52,100,14.299999999999997,inactive
2023-04-07,Coffield,76.4,KPSN,52,100,24.400000000000006,inactive
2023-04-08,Coffield,78.5,KPSN,70,69,8.5,inactive
2023-04-09,Coffield,75.7,KPSN,72,61,3.700000000000003,inactive
2023-04-10,Coffield,72.1,KPSN,72,57,0.09999999999999432,inactive
2023-04-11,Coffield,77.1,KPSN,75,41,2.0999999999999943,inactive
2023-04-12,Coffield,77.2,KPSN,73,50,4.200000000000003,inactive
2023-04-13,Coffield,77.2,KPSN,77,34,0.20000000000000284,inactive
2023-04-14,Coffield,75.8,KPSN,79,65,3.200000000000003,inactive
2023-04-15,Coffield,79.9,KPSN,84,62,4.099999999999994,inactive
2023-04-16,Coffield,71,KPSN,70,31,1,inactive
2023-04-17,Coffield,77,KPSN,77,22,0,inactive
2023-04-18,Coffield,72.6,KPSN,68,83,4.599999999999994,inactive
2023-04-19,Coffield,76.5,KPSN,81,58,4.5,inactive
2023-04-20,Coffield,79.8,KPSN,79,79,0.7999999999999972,inactive
2023-04-21,Coffield,76.6,KPSN,73,69,3.5999999999999943,inactive
2023-04-22,Coffield,73.8,KPSN,75,31,1.2000000000000028,inactive
2023-04-23,Coffield,76.4,KPSN,57,82,19.400000000000006,inactive
2023-04-24,Coffield,76.8,KPSN,70,50,6.799999999999997,inactive
2023-04-25,Coffield,75.7,KPSN,70,69,5.700000000000003,inactive
2023-04-26,Coffield,76.7,KPSN,73,78,3.700000000000003,inactive
2023-04-27,Coffield,78.5,KPSN,70,60,8.5,inactive
2023-04-28,Coffield,77.4,KPSN,77,57,0.4000000000000057,inactive
2023-04-29,Coffield,76.3,KPSN,66,60,10.299999999999997,inactive
2023-04-30,Coffield,78.5,KPSN,84,31,5.5,inactive
2023-05-01,Coffield,76,KPSN,79,24,3,inactive
2023-05-02,Coffield,79.2,KPSN,82,42,2.799999999999997,inactive
2023-05-03,Coffield,80.2,KPSN,84,37,3.799999999999997,inactive
2023-05-04,Coffield,77.2,KPSN,77,79,0.20000000000000284,inactive
2023-05-05,Coffield,81.2,KPSN,90,63,8.799999999999997,inactive
2023-05-06,Coffield,91,KPSN,86,66,5,inactive
2023-05-07,Coffield,84.1,KPSN,84,58,0.09999999999999432,inactive
2023-05-08,Coffield,86.5,KPSN,84,74,2.5,inactive
2023-05-09,Coffield,81.2,KPSN,82,58,0.7999999999999972,inactive
2023-05-10,Coffield,74.3,KPSN,70,94,4.299999999999997,inactive
2023-05-11,Coffield,80.5,KPSN,84,74,3.5,inactive
2023-05-12,Coffield,82,KPSN,84,70,2,inactive
2023-05-13,Coffield,85.5,KPSN,86,55,0.5,inactive
2023-05-14,Coffield,74.6,KPSN,70,100,4.599999999999994,inactive
2023-05-15,Coffield,76.8,KPSN,81,79,4.200000000000003,inactive
2023-05-16,Coffield,80.3,KPSN,79,70,1.2999999999999972,inactive
2023-05-17,Coffield,76.9,KPSN,81,54,4.099999999999994,inactive
2023-05-18,Coffield,80.4,KPSN,86,46,5.599999999999994,inactive
2023-05-19,Coffield,85.3,KPSN,90,49,4.700000000000003,inactive
2023-05-20,Coffield,77.4,KPSN,75,74,2.4000000000000057,inactive
2023-05-21,Coffield,77.9,KPSN,75,65,2.9000000000000057,inactive
2023-05-22,Coffield,78.6,KPSN,81,48,2.4000000000000057,inactive
2023-05-23,Coffield,77.7,KPSN,81,62,3.299999999999997,inactive
