date,unit_name,indoor_temp,station_code,station_temp,rh,difference,status
2023-04-01,Wheeler,74.2,KPVW,69,12,5.200000000000003,inactive
2023-04-02,Wheeler,74.8,KPVW,80,6,5.200000000000003,inactive
2023-04-03,Wheeler,79.1,KPVW,86,3,6.900000000000006,inactive
2023-04-04,Wheeler,74.5,KPVW,76,5,1.5,inactive
2023-04-05,Wheeler,75.5,KPVW,53,18,22.5,inactive
2023-04-06,Wheeler,74.5,KPVW,59,15,15.5,inactive
2023-04-07,Wheeler,75.9,KPVW,63,11,12.900000000000006,inactive
2023-04-08,Wheeler,77.4,KPVW,71,26,6.400000000000006,inactive
2023-04-09,Wheeler,75,KPVW,73,37,2,inactive
2023-04-10,Wheeler,77.8,KPVW,76,18,1.7999999999999972,inactive
2023-04-11,Wheeler,78.1,KPVW,79,21,0.9000000000000057,inactive
2023-04-12,Wheeler,77,KPVW,80,22,3,inactive
2023-04-13,Wheeler,77.3,KPVW,81,18,3.700000000000003,inactive
2023-04-14,Wheeler,78.3,KPVW,80,10,1.7000000000000028,inactive
2023-04-15,Wheeler,75.3,KPVW,66,21,9.299999999999997,inactive
2023-04-16,Wheeler,77.6,KPVW,65,17,12.599999999999994,inactive
2023-04-17,Wheeler,77.1,KPVW,80,18,2.9000000000000057,inactive
2023-04-18,Wheeler,77.5,KPVW,86,8,8.5,inactive
2023-04-19,Wheeler,78.9,KPVW,85,6,6.099999999999994,inactive
2023-04-20,Wheeler,77.8,KPVW,63,15,14.799999999999997,inactive
2023-04-21,Wheeler,78.6,KPVW,65,11,13.599999999999994,inactive
2023-04-22,Wheeler,75,KPVW,48,33,27,inactive
2023-04-23,Wheeler,76.6,KPVW,47,60,29.599999999999994,inactive
2023-04-24,Wheeler,73.4,KPVW,46,84,27.400000000000006,inactive
2023-04-25,Wheeler,77.6,KPVW,70,44,7.599999999999994,inactive
2023-04-26,Wheeler,76.4,KPVW,56,78,20.400000000000006,inactive
2023-04-27,Wheeler,77.7,KPVW,72,22,5.700000000000003,inactive
2023-04-28,Wheeler,75.7,KPVW,52,53,23.700000000000003,inactive
2023-04-29,Wheeler,78.4,KPVW,72,19,6.400000000000006,inactive
2023-04-30,Wheeler,76.3,KPVW,78,20,1.7000000000000028,inactive
2023-05-01,Wheeler,78.7,KPVW,74,24,4.700000000000003,inactive
2023-05-02,Wheeler,77.2,KPVW,76,34,1.2000000000000028,inactive
2023-05-03,Wheeler,76,KPVW,77,41,1,inactive
2023-05-04,Wheeler,76.8,KPVW,75,46,1.7999999999999972,inactive
2023-05-05,Wheeler,77.8,KPVW,87,10,9.200000000000003,inactive
2023-05-06,Wheeler,77.8,KPVW,83,11,5.200000000000003,inactive
2023-05-07,Wheeler,77.7,KPVW,90,6,12.299999999999997,inactive
2023-05-08,Wheeler,81.7,KPVW,87,13,5.299999999999997,inactive
2023-05-09,Wheeler,81.3,KPVW,91,12,9.700000000000003,inactive
2023-05-10,Wheeler,78.1,KPVW,83,28,4.900000000000006,inactive
2023-05-11,Wheeler,77.1,KPVW,79,17,1.9000000000000057,inactive
2023-05-12,Wheeler,77.9,KPVW,84,14,6.099999999999994,inactive
2023-05-13,Wheeler,61.5,KPVW,55,99,6.5,inactive
2023-05-14,Wheeler,66.3,KPVW,64,81,2.299999999999997,inactive
2023-05-15,Wheeler,66.4,KPVW,66,69,0.4000000000000057,inactive
2023-05-16,Wheeler,75.4,KPVW,76,44,0.5999999999999943,inactive
2023-05-17,Wheeler,76.3,KPVW,81,39,4.700000000000003,inactive
2023-05-18,Wheeler,77.2,KPVW,79,53,1.7999999999999972,inactive
2023-05-19,Wheeler,78.2,KPVW,71,57,7.200000000000003,inactive
2023-05-20,Wheeler,73.8,KPVW,69,47,4.799999999999997,inactive
2023-05-21,Wheeler,77.8,KPVW,73,53,4.799999999999997,inactive
2023-05-22,Wheeler,78.4,KPVW,63,97,15.400000000000006,inactive
2023-05-23,Wheeler,83.6,KPVW,80,45,3.5999999999999943,inactive
2023-05-24,Wheeler,77.3,KPVW,74,59,3.299999999999997,inactive
2023-05-25,Wheeler,74.8,KPVW,74,56,0.7999999999999972,inactive
2023-05-26,Wheeler,77.5,KPVW,69,70,8.5,inactive
2023-05-27,Wheeler,73,KPVW,68,81,5,inactive
2023-05-28,Wheeler,78.1,KPVW,75,58,3.0999999999999943,inactive
2023-05-29,Wheeler,77.7,KPVW,77,50,0.7000000000000028,inactive
2023-05-30,Wheeler,82.4,KPVW,83,47,0.5999999999999943,inactive
2023-05-31,Wheeler,80,KPVW,77,52,3,inactive
2023-06-01,Wheeler,77.8,KPVW,72,62,5.799999999999997,inactive
2023-06-02,Wheeler,77.3,KPVW,54,99,23.299999999999997,inactive
2023-06-03,Wheeler,73.7,KPVW,73,61,0.7000000000000028,inactive
2023-06-04,Wheeler,76.3,KPVW,72,57,4.299999999999997,inactive
2023-06-05,Wheeler,78.9,KPVW,72,53,6.900000000000006,inactive
2023-06-06,Wheeler,78.6,KPVW,76,42,2.5999999999999943,inactive
2023-06-07,Wheeler,79.4,KPVW,78,51,1.4000000000000057,inactive
2023-06-08,Wheeler,83.1,KPVW,80,43,3.0999999999999943,inactive
2023-06-09,Wheeler,80.9,KPVW,87,28,6.099999999999994,inactive
2023-06-10,Wheeler,78.4,KPVW,85,41,6.599999999999994,inactive
2023-06-11,Wheeler,78.9,KPVW,84,44,5.099999999999994,inactive
2023-06-12,Wheeler,71.3,KPVW,69,63,2.299999999999997,inactive
2023-06-13,Wheeler,78.7,KPVW,77,51,1.7000000000000028,inactive
2023-06-14,Wheeler,83.5,KPVW,84,25,0.5,inactive
2023-06-15,Wheeler,82.3,KPVW,91,13,8.700000000000003,inactive
2023-06-16,Wheeler,85.6,KPVW,85,32,0.5999999999999943,inactive
2023-06-17,Wheeler,79.1,KPVW,88,36,8.900000000000006,inactive
2023-06-18,Wheeler,80.8,KPVW,86,23,5.200000000000003,inactive
2023-06-19,Wheeler,85.9,KPVW,97,14,11.099999999999994,inactive
2023-06-20,Wheeler,88.5,KPVW,99,15,10.5,inactive
2023-06-21,Wheeler,86.4,KPVW,99,12,12.599999999999994,inactive
2023-06-22,Wheeler,85.1,KPVW,86,49,0.9000000000000057,inactive
2023-06-23,Wheeler,85,KPVW,89,48,4,inactive
2023-06-24,Wheeler,87.3,KPVW,96,21,8.700000000000003,inactive
2023-06-25,Wheeler,95.4,KPVW,89,42,6.400000000000006,inactive
2023-06-26,Wheeler,81.7,KPVW,91,44,9.299999999999997,inactive
2023-06-27,Wheeler,80.4,KPVW,103,10,22.599999999999994,inactive
2023-06-28,Wheeler,93.7,KPVW,100,12,6.299999999999997,inactive
2023-06-29,Wheeler,95.3,KPVW,96,14,0.7000000000000028,inactive
2023-06-30,Wheeler,87,KPVW,64,99,23,inactive
2023-07-01,Wheeler,76.3,KPVW,76,69,0.29999999999999716,inactive
2023-07-02,Wheeler,87.3,KPVW,87,38,0.29999999999999716,inactive
2023-07-03,Wheeler,82.8,KPVW,85,45,2.200000000000003,inactive
2023-07-04,Wheeler,84.4,KPVW,89,36,4.599999999999994,inactive
2023-07-05,Wheeler,79.6,KPVW,90,35,10.400000000000006,inactive
2023-07-06,Wheeler,82.7,KPVW,82,55,0.7000000000000028,inactive
2023-07-07,Wheeler,85.1,KPVW,89,45,3.9000000000000057,inactive
2023-07-08,Wheeler,80.2,KPVW,84,58,3.799999999999997,inactive
2023-07-09,Wheeler,79.1,KPVW,78,65,1.0999999999999943,inactive
2023-07-10,Wheeler,85.3,KPVW,90,45,4.700000000000003,inactive
2023-07-11,Wheeler,85.2,KPVW,94,31,8.799999999999997,inactive
2023-07-12,Wheeler,86.3,KPVW,98,31,11.700000000000003,inactive
2023-07-13,Wheeler,84.6,KPVW,96,31,11.400000000000006,inactive
2023-07-14,Wheeler,86.1,KPVW,89,44,2.9000000000000057,inactive
2023-07-15,Wheeler,81.6,KPVW,78,67,3.5999999999999943,inactive
2023-07-16,Wheeler,83.4,KPVW,87,46,3.5999999999999943,inactive
2023-07-17,Wheeler,80.2,KPVW,94,26,13.799999999999997,inactive
2023-07-18,Wheeler,86.4,KPVW,98,22,11.599999999999994,inactive
2023-07-19,Wheeler,88.3,KPVW,98,21,9.700000000000003,inactive
2023-07-20,Wheeler,91.7,KPVW,94,28,2.299999999999997,inactive
2023-07-21,Wheeler,82.2,KPVW,88,38,5.799999999999997,inactive
2023-07-22,Wheeler,87.2,KPVW,85,46,2.200000000000003,inactive
2023-07-23,Wheeler,81.8,KPVW,90,31,8.200000000000003,inactive
2023-07-24,Wheeler,85.6,KPVW,95,24,9.400000000000006,inactive
2023-07-25,Wheeler,86.2,KPVW,96,22,9.799999999999997,inactive
2023-07-26,Wheeler,82.7,KPVW,95,22,12.299999999999997,inactive
2023-07-27,Wheeler,85.2,KPVW,95,23,9.799999999999997,inactive
2023-07-28,Wheeler,85.1,KPVW,95,25,9.900000000000006,inactive
2023-07-29,Wheeler,84.5,KPVW,94,25,9.5,inactive
2023-07-30,Wheeler,85.1,KPVW,93,22,7.900000000000006,inactive
2023-07-31,Wheeler,93.1,KPVW,94,27,0.9000000000000057,inactive
2023-08-01,Wheeler,82.4,KPVW,96,28,13.599999999999994,inactive
2023-08-02,Wheeler,79.6,KPVW,96,23,16.400000000000006,inactive
2023-08-03,Wheeler,88.4,KPVW,97,23,8.599999999999994,inactive
2023-08-04,Wheeler,88.5,KPVW,98,24,9.5,inactive
2023-08-05,Wheeler,90.7,KPVW,92,27,1.2999999999999972,inactive
2023-08-06,Wheeler,86.4,KPVW,96,24,9.599999999999994,inactive
2023-08-07,Wheeler,89.1,KPVW,87,39,2.0999999999999943,inactive
2023-08-08,Wheeler,82.2,KPVW,95,29,12.799999999999997,inactive
2023-08-09,Wheeler,84,KPVW,93,29,9,inactive
2023-08-10,Wheeler,81.3,KPVW,93,34,11.700000000000003,inactive
2023-08-11,Wheeler,83.6,KPVW,102,17,18.400000000000006,inactive
2023-08-12,Wheeler,96.5,KPVW,100,19,3.5,inactive
2023-08-13,Wheeler,95.6,KPVW,99,26,3.4000000000000057,inactive
2023-08-14,Wheeler,85.4,KPVW,81,28,4.400000000000006,inactive
2023-08-15,Wheeler,86.2,KPVW,87,28,0.7999999999999972,inactive
2023-08-16,Wheeler,86.5,KPVW,97,21,10.5,inactive
2023-08-17,Wheeler,86.7,KPVW,101,14,14.299999999999997,inactive
2023-08-18,Wheeler,83.6,KPVW,101,13,17.400000000000006,inactive
2023-08-19,Wheeler,82.7,KPVW,97,15,14.299999999999997,inactive
2023-08-20,Wheeler,92,KPVW,95,20,3,inactive
2023-08-21,Wheeler,84.3,KPVW,99,21,14.700000000000003,inactive
2023-08-22,Wheeler,87.2,KPVW,95,23,7.799999999999997,inactive
2023-08-23,Wheeler,87.3,KPVW,91,29,3.700000000000003,inactive
2023-08-24,Wheeler,84.1,KPVW,92,32,7.900000000000006,inactive
2023-08-25,Wheeler,79,KPVW,95,18,16,inactive
2023-08-26,Wheeler,81.8,KPVW,94,26,12.200000000000003,inactive
2023-08-27,Wheeler,79.8,KPVW,83,54,3.200000000000003,inactive
2023-08-28,Wheeler,88.4,KPVW,85,33,3.4000000000000057,inactive
2023-08-29,Wheeler,77.5,KPVW,84,34,6.5,inactive
2023-08-30,Wheeler,87.1,KPVW,86,24,1.0999999999999943,inactive
2023-08-31,Wheeler,83.2,KPVW,93,18,9.799999999999997,inactive
2023-09-01,Wheeler,80.9,KPVW,96,14,15.099999999999994,inactive
2023-09-02,Wheeler,79.3,KPVW,96,14,16.700000000000003,inactive
2023-09-03,Wheeler,79.1,KPVW,95,12,15.900000000000006,inactive
2023-09-04,Wheeler,81.8,KPVW,96,19,14.200000000000003,inactive
2023-09-05,Wheeler,81.9,KPVW,93,20,11.099999999999994,inactive
2023-09-06,Wheeler,81.5,KPVW,89,32,7.5,inactive
2023-09-07,Wheeler,86.2,KPVW,100,18,13.799999999999997,inactive
2023-09-08,Wheeler,82,KPVW,97,19,15,inactive
2023-09-09,Wheeler,88.3,KPVW,90,31,1.7000000000000028,inactive
2023-09-10,Wheeler,78.7,KPVW,89,35,10.299999999999997,inactive
2023-09-11,Wheeler,81.6,KPVW,81,55,0.5999999999999943,inactive
2023-09-12,Wheeler,77.2,KPVW,66,60,11.200000000000003,inactive
2023-09-13,Wheeler,72.8,KPVW,64,79,8.799999999999997,inactive
2023-09-14,Wheeler,76.8,KPVW,73,63,3.799999999999997,inactive
2023-09-15,Wheeler,77.3,KPVW,78,48,0.7000000000000028,inactive
2023-09-16,Wheeler,78.3,KPVW,73,55,5.299999999999997,inactive
2023-09-17,Wheeler,79.8,KPVW,80,33,0.20000000000000284,inactive
2023-09-18,Wheeler,79.8,KPVW,86,38,6.200000000000003,inactive
2023-09-19,Wheeler,81.3,KPVW,92,16,10.700000000000003,inactive
2023-09-20,Wheeler,86.7,KPVW,89,18,2.299999999999997,inactive
2023-09-21,Wheeler,78.3,KPVW,84,38,5.700000000000003,inactive
2023-09-22,Wheeler,87,KPVW,92,27,5,inactive
2023-09-23,Wheeler,86.1,KPVW,94,14,7.900000000000006,inactive
2023-09-24,Wheeler,82.4,KPVW,86,29,3.5999999999999943,inactive
2023-09-25,Wheeler,86.2,KPVW,83,35,3.200000000000003,inactive
2023-09-26,Wheeler,79.4,KPVW,84,33,4.599999999999994,inactive
2023-09-27,Wheeler,79.3,KPVW,88,32,8.700000000000003,inactive
2023-09-28,Wheeler,84.2,KPVW,88,31,3.799999999999997,inactive
2023-09-29,Wheeler,83.9,KPVW,87,40,3.0999999999999943,inactive
2023-09-30,Wheeler,83.8,KPVW,83,42,0.7999999999999972,inactive
