date,unit_name,indoor_temp,station_code,station_temp,difference
2023-04-01,Dominguez,78.4,KSKF,87,8.599999999999994
2023-04-02,Dominguez,82.8,KSKF,88,5.200000000000003
2023-04-03,Dominguez,87.2,KSKF,92,4.799999999999997
2023-04-04,Dominguez,83,KSKF,86,3
2023-04-05,Dominguez,77.6,KSKF,72,5.599999999999994
2023-04-06,Dominguez,69.6,KSKF,54,15.599999999999994
2023-04-07,Dominguez,63.8,KSKF,53,10.799999999999997
2023-04-08,Dominguez,74.3,KSKF,73,1.2999999999999972
2023-04-09,Dominguez,71.4,KSKF,68,3.4000000000000057
2023-04-10,Dominguez,72.8,KSKF,71,1.7999999999999972
2023-04-11,Dominguez,76.3,KSKF,77,0.7000000000000028
2023-04-12,Dominguez,77.3,KSKF,78,0.7000000000000028
2023-04-13,Dominguez,78.1,KSKF,80,1.9000000000000057
2023-04-14,Dominguez,79.7,KSKF,82,2.299999999999997
2023-04-15,Dominguez,84.9,KSKF,92,7.099999999999994
2023-04-16,Dominguez,77.6,KSKF,76,1.5999999999999943
2023-04-17,Dominguez,80,KSKF,81,1
2023-04-18,Dominguez,78.8,KSKF,81,2.200000000000003
2023-04-19,Dominguez,79.9,KSKF,80,0.09999999999999432
2023-04-20,Dominguez,83.8,KSKF,89,5.200000000000003
2023-04-21,Dominguez,77.6,KSKF,82,4.400000000000006
2023-04-22,Dominguez,78.1,KSKF,79,0.9000000000000057
2023-04-23,Dominguez,66.5,KSKF,63,3.5
2023-04-24,Dominguez,73,KSKF,69,4
2023-04-25,Dominguez,75.5,KSKF,76,0.5
2023-04-26,Dominguez,81,KSKF,84,3
2023-04-27,Dominguez,80.9,KSKF,80,0.9000000000000057
2023-04-28,Dominguez,85.3,KSKF,85,0.29999999999999716
2023-04-29,Dominguez,75.5,KSKF,77,1.5
2023-04-30,Dominguez,84.3,KSKF,88,3.700000000000003
2023-05-01,Dominguez,84.5,KSKF,83,1.5
2023-05-02,Dominguez,79.9,KSKF,79,0.9000000000000057
2023-05-03,Dominguez,84,KSKF,83,1
2023-05-04,Dominguez,84,KSKF,83,1
2023-05-05,Dominguez,91.4,KSKF,94,2.5999999999999943
2023-05-06,Dominguez,83.3,KSKF,86,2.700000000000003
2023-05-07,Dominguez,81.4,KSKF,79,2.4000000000000057
2023-05-08,Dominguez,88.5,KSKF,89,0.5
2023-05-09,Dominguez,74.7,KSKF,70,4.700000000000003
2023-05-10,Dominguez,80.7,KSKF,80,0.7000000000000028
2023-05-11,Dominguez,86.5,KSKF,87,0.5
2023-05-12,Dominguez,86.6,KSKF,85,1.5999999999999943
2023-05-13,Dominguez,79.8,KSKF,76,3.799999999999997
2023-05-14,Dominguez,84.7,KSKF,85,0.29999999999999716
2023-05-15,Dominguez,82.5,KSKF,80,2.5
2023-05-16,Dominguez,82.8,KSKF,70,12.799999999999997
2023-05-17,Dominguez,84.5,KSKF,85,0.5
2023-05-18,Dominguez,88.4,KSKF,85,3.4000000000000057
2023-05-19,Dominguez,87.7,KSKF,87,0.7000000000000028
2023-05-20,Dominguez,78.6,KSKF,77,1.5999999999999943
2023-05-21,Dominguez,73.1,KSKF,68,5.099999999999994
2023-05-22,Dominguez,82.1,KSKF,82,0.09999999999999432
2023-05-23,Dominguez,88.5,KSKF,88,0.5
2023-05-24,Dominguez,87.5,KSKF,88,0.5
2023-05-25,Dominguez,83.2,KSKF,81,2.200000000000003
2023-05-26,Dominguez,85.3,KSKF,84,1.2999999999999972
2023-05-27,Dominguez,85.8,KSKF,85,0.7999999999999972
2023-05-28,Dominguez,83.7,KSKF,83,0.7000000000000028
2023-05-29,Dominguez,86.6,KSKF,85,1.5999999999999943
2023-05-30,Dominguez,84.3,KSKF,86,1.7000000000000028
2023-05-31,Dominguez,86.5,KSKF,85,1.5
2023-06-01,Dominguez,85.8,KSKF,87,1.2000000000000028
2023-06-02,Dominguez,89.3,KSKF,86,3.299999999999997
2023-06-03,Dominguez,87.4,KSKF,NA,NA
2023-06-04,Dominguez,82.8,KSKF,79,3.799999999999997
2023-06-05,Dominguez,85,KSKF,86,1
2023-06-06,Dominguez,85.5,KSKF,71,14.5
2023-06-07,Dominguez,83.5,KSKF,84,0.5
2023-06-08,Dominguez,89.9,KSKF,87,2.9000000000000057
2023-06-09,Dominguez,93.9,KSKF,94,0.09999999999999432
2023-06-10,Dominguez,90.9,KSKF,93,2.0999999999999943
2023-06-11,Dominguez,93.2,KSKF,95,1.7999999999999972
2023-06-12,Dominguez,92.4,KSKF,95,2.5999999999999943
2023-06-13,Dominguez,91.8,KSKF,92,0.20000000000000284
2023-06-14,Dominguez,90.7,KSKF,90,0.7000000000000028
2023-06-15,Dominguez,93.5,KSKF,95,1.5
2023-06-16,Dominguez,96.1,KSKF,98,1.9000000000000057
2023-06-17,Dominguez,90.9,KSKF,94,3.0999999999999943
2023-06-18,Dominguez,96.8,KSKF,100,3.200000000000003
2023-06-19,Dominguez,95.3,KSKF,99,3.700000000000003
2023-06-20,Dominguez,94.9,KSKF,101,6.099999999999994
2023-06-21,Dominguez,99.1,KSKF,103,3.9000000000000057
2023-06-22,Dominguez,91.9,KSKF,91,0.9000000000000057
2023-06-23,Dominguez,94.4,KSKF,100,5.599999999999994
2023-06-24,Dominguez,95.2,KSKF,100,4.799999999999997
2023-06-25,Dominguez,94.8,KSKF,99,4.200000000000003
2023-06-26,Dominguez,98.5,KSKF,102,3.5
2023-06-27,Dominguez,98.5,KSKF,102,3.5
2023-06-28,Dominguez,96.8,KSKF,101,4.200000000000003
2023-06-29,Dominguez,95.1,KSKF,98,2.9000000000000057
2023-06-30,Dominguez,95.6,KSKF,97,1.4000000000000057
2023-07-01,Dominguez,95.3,KSKF,98,2.700000000000003
2023-07-02,Dominguez,92.9,KSKF,94,1.0999999999999943
2023-07-03,Dominguez,91.1,KSKF,93,1.9000000000000057
2023-07-04,Dominguez,93.3,KSKF,95,1.7000000000000028
2023-07-05,Dominguez,94.2,KSKF,91,3.200000000000003
2023-07-06,Dominguez,89.7,KSKF,87,2.700000000000003
2023-07-07,Dominguez,85.6,KSKF,84,1.5999999999999943
2023-07-08,Dominguez,94.7,KSKF,97,2.299999999999997
2023-07-09,Dominguez,95.7,KSKF,99,3.299999999999997
2023-07-10,Dominguez,94.5,KSKF,101,6.5
2023-07-11,Dominguez,93.1,KSKF,103,9.900000000000006
2023-07-12,Dominguez,97.4,KSKF,103,5.599999999999994
2023-07-13,Dominguez,93.2,KSKF,103,9.799999999999997
2023-07-14,Dominguez,98.9,KSKF,104,5.099999999999994
2023-07-15,Dominguez,96.9,KSKF,103,6.099999999999994
2023-07-16,Dominguez,98.1,KSKF,102,3.9000000000000057
2023-07-17,Dominguez,92.8,KSKF,102,9.200000000000003
2023-07-18,Dominguez,93,KSKF,103,10
2023-07-19,Dominguez,97.8,KSKF,103,5.200000000000003
2023-07-20,Dominguez,98.9,KSKF,101,2.0999999999999943
2023-07-21,Dominguez,96.9,KSKF,100,3.0999999999999943
2023-07-22,Dominguez,96.1,KSKF,101,4.900000000000006
2023-07-23,Dominguez,93.8,KSKF,84,9.799999999999997
2023-07-24,Dominguez,95,KSKF,99,4
2023-07-25,Dominguez,97.6,KSKF,99,1.4000000000000057
2023-07-26,Dominguez,97.3,KSKF,101,3.700000000000003
2023-07-27,Dominguez,96.8,KSKF,99,2.200000000000003
2023-07-28,Dominguez,97.2,KSKF,99,1.7999999999999972
2023-07-29,Dominguez,96.8,KSKF,96,0.7999999999999972
2023-07-30,Dominguez,94.8,KSKF,100,5.200000000000003
2023-07-31,Dominguez,91.4,KSKF,100,8.599999999999994
2023-08-01,Dominguez,91.3,KSKF,100,8.700000000000003
2023-08-02,Dominguez,98.1,KSKF,101,2.9000000000000057
2023-08-03,Dominguez,91.9,KSKF,97,5.099999999999994
2023-08-04,Dominguez,99.1,KSKF,103,3.9000000000000057
2023-08-05,Dominguez,98.1,KSKF,102,3.9000000000000057
2023-08-06,Dominguez,99.2,KSKF,104,4.799999999999997
2023-08-07,Dominguez,91.1,KSKF,104,12.900000000000006
2023-08-08,Dominguez,95.8,KSKF,103,7.200000000000003
2023-08-09,Dominguez,94.7,KSKF,105,10.299999999999997
2023-08-10,Dominguez,97.7,KSKF,103,5.299999999999997
2023-08-11,Dominguez,97.6,KSKF,104,6.400000000000006
2023-08-12,Dominguez,95.8,KSKF,103,7.200000000000003
2023-08-13,Dominguez,98.4,KSKF,102,3.5999999999999943
