date,unit_name,indoor_temp,station_code,station_temp,rh,difference,status
2023-04-01,Daniel,73.4,KSNK,71,12,2.4000000000000057,inactive
2023-04-02,Daniel,78,KSNK,86,6,8,inactive
2023-04-03,Daniel,79.6,KSNK,91,1,11.400000000000006,inactive
2023-04-04,Daniel,79.2,KSNK,89,1,9.799999999999997,inactive
2023-04-05,Daniel,71.9,KSNK,60,13,11.900000000000006,inactive
2023-04-06,Daniel,70.8,KSNK,63,12,7.799999999999997,inactive
2023-04-07,Daniel,70.1,KSNK,65,28,5.099999999999994,inactive
2023-04-08,Daniel,75.5,KSNK,72,31,3.5,inactive
2023-04-09,Daniel,74.9,KSNK,77,34,2.0999999999999943,inactive
2023-04-10,Daniel,76.6,KSNK,74,40,2.5999999999999943,inactive
2023-04-11,Daniel,74.7,KSNK,75,42,0.29999999999999716,inactive
2023-04-12,Daniel,77.5,KSNK,78,31,0.5,inactive
2023-04-13,Daniel,77.7,KSNK,81,20,3.299999999999997,inactive
2023-04-14,Daniel,78.9,KSNK,86,6,7.099999999999994,inactive
2023-04-15,Daniel,76.9,KSNK,74,20,2.9000000000000057,inactive
2023-04-16,Daniel,75.4,KSNK,68,17,7.400000000000006,inactive
2023-04-17,Daniel,78.5,KSNK,73,26,5.5,inactive
2023-04-18,Daniel,79.1,KSNK,89,15,9.900000000000006,inactive
2023-04-19,Daniel,78.6,KSNK,91,10,12.400000000000006,inactive
2023-04-20,Daniel,76.4,KSNK,74,17,2.4000000000000057,inactive
2023-04-21,Daniel,75.5,KSNK,69,13,6.5,inactive
2023-04-22,Daniel,73.3,KSNK,64,36,9.299999999999997,inactive
2023-04-23,Daniel,71.1,KSNK,46,82,25.099999999999994,inactive
2023-04-24,Daniel,71.3,KSNK,62,58,9.299999999999997,inactive
2023-04-25,Daniel,75.7,KSNK,77,39,1.2999999999999972,inactive
2023-04-26,Daniel,74.7,KSNK,72,45,2.700000000000003,inactive
2023-04-27,Daniel,77.8,KSNK,74,22,3.799999999999997,inactive
2023-04-28,Daniel,72.1,KSNK,53,63,19.099999999999994,inactive
2023-04-29,Daniel,75.2,KSNK,75,15,0.20000000000000284,inactive
2023-04-30,Daniel,75.8,KSNK,92,6,16.200000000000003,inactive
2023-05-01,Daniel,79.8,KSNK,77,20,2.799999999999997,inactive
2023-05-02,Daniel,78.4,KSNK,78,46,0.4000000000000057,inactive
2023-05-03,Daniel,78.9,KSNK,84,33,5.099999999999994,inactive
2023-05-04,Daniel,80.4,KSNK,86,22,5.599999999999994,inactive
2023-05-05,Daniel,84,KSNK,94,8,10,inactive
2023-05-06,Daniel,83.2,KSNK,93,23,9.799999999999997,inactive
2023-05-07,Daniel,82.6,KSNK,91,30,8.400000000000006,inactive
2023-05-08,Daniel,80.7,KSNK,96,9,15.299999999999997,inactive
2023-05-09,Daniel,84.3,KSNK,91,18,6.700000000000003,inactive
2023-05-10,Daniel,84.8,KSNK,87,30,2.200000000000003,inactive
2023-05-11,Daniel,87.7,KSNK,86,6,1.7000000000000028,inactive
2023-05-12,Daniel,84.8,KSNK,90,29,5.200000000000003,inactive
2023-05-13,Daniel,80.5,KSNK,69,62,11.5,inactive
2023-05-14,Daniel,72.4,KSNK,71,63,1.4000000000000057,inactive
