Initial Date of Extreme Temperature,ICS Implementation Date,County,Unit Affected,ICS Initiated Date ,ICS Initiated Time,ICS Deactivated Date,ICS Deactivated Time
2023-06-13,2023-06-15,Frio,Briscoe,2023-06-15,1539,2023-07-03,0800
2023-06-13,2023-06-15,La Salle ,Cotulla,2023-06-15,1620,2023-07-03,0930
2023-06-13,2023-06-15,Hidalgo,Lopez ,2023-06-15,1700,2023-06-29,1800
2023-06-13,2023-06-15,Hidalgo,Segovia,2023-06-15,1700,2023-06-29,1800
2023-06-14,2023-06-16,Duval,Glossbrenner,2023-06-16,1330,2023-06-29,0930
2023-06-14,2023-06-17,Houston,Wainwright,2023-06-17,1600,2023-06-23,1500
2023-06-15,2023-06-17,Madison,Ferguson,2023-06-17,1530,2023-06-22,1530
2023-06-15,2023-06-18,Fort Bend,Scott,2023-06-18,1253,2023-06-20,1253
2023-06-15,2023-06-18,Fort Bend,Jester III,2023-06-18,1253,2023-06-20,1253
2023-06-15,2023-06-18,Fort Bend,Vance,2023-06-18,1253,2023-06-20,1253
2023-06-17,2023-06-19,Falls,Hobby,2023-06-19,1900,2023-06-30,1700
2023-06-17,2023-06-19,Falls,Marlin,2023-06-19,1900,2023-06-30,1700
2023-06-19,2023-06-21,Brown,Havins,2023-06-21,1430,2023-06-23,0900
2023-06-17,2023-06-20,Coryell,Crain ,2023-06-20,1630,2023-06-23,0900
2023-06-17,2023-06-20,Coryell,Hilltop,2023-06-20,1659,2023-06-23,0900
2023-06-17,2023-06-20,Coryell,Hughes,2023-06-20,1630,2023-06-23,0900
2023-06-17,2023-06-20,Coryell,Mountain View,2023-06-20,1659,2023-06-23,0900
2023-06-17,2023-06-20,Coryell,Murray,2023-06-20,1630,2023-06-23,0900
2023-06-17,2023-06-20,Coryell,Woodman,2023-06-20,1630,2023-06-23,0900
2023-06-18,2023-06-20,Bexar,Dominguez,2023-06-20,1300,2023-06-22,1830
2023-06-18,2023-06-22,Walker,Byrd,2023-06-22,0030,2023-06-23,1538
2023-06-19,2023-06-21,Mitchell,Wallace,2023-06-21,1300,2023-06-22,1830
2023-06-19,2023-06-21,Pecos,Lynaugh,2023-06-21,1700,2023-06-29,1530
2023-06-19,2023-06-21,Pecos,Ft. Stockton,2023-06-21,1700,2023-06-29,1530
2023-06-19,2023-06-21,Lubbock ,Montford/Trustee Camp,2023-06-21,1500,2023-06-22,2019
2023-06-20,2023-06-23,Walker,Huntsville,2023-06-23,0812,2023-06-23,1635
2023-06-23,2023-06-26,Fort Bend,Scott,2023-06-26,1630,2023-06-28,0900
2023-06-23,2023-06-26,Fort Bend,Jester III,2023-06-26,1630,2023-06-28,0900
2023-06-23,2023-06-26,Fort Bend,Vance,2023-06-26,1630,2023-06-28,0900
2023-06-23,2023-06-25,Madison,Ferguson,2023-06-25,1530,2023-06-30,0900
2023-06-23,2023-06-25,Houston,Wainwright,2023-06-25,1530,2023-06-30,0945
2023-06-23,2023-06-26,Walker,Goree,2023-06-26,1300,2023-06-29,1108
2023-06-24,2023-06-27,Walker,Holliday,2023-06-27,0859,2023-06-29,1108
2023-06-24,2023-06-27,Walker,Byrd,2023-06-27,0930,2023-06-29,1108
2023-06-24,2023-06-27,Walker,Wynne,2023-06-27,0859,2023-06-29,1108
2023-06-26,2023-06-27,Walker,Huntsville,2023-06-27,0859,2023-06-29,1108
2023-06-24,2023-06-27,Mitchell,Wallace,2023-06-27,1400,2023-06-30,0700
2023-06-25,2023-06-28,Wichita,Allred,2023-06-28,1400,2023-06-30,1704
2023-06-25,2023-06-28,Brown,Havins,2023-06-28,1730,2023-06-30,1615
2023-06-25,2023-06-28,Stephens,Sayle,2023-06-28,1735,2023-06-29,1730
2023-07-06,2023-07-08,El Paso,Sanchez,2023-07-08,1832,2023-07-09,1930
2023-07-07,2023-07-10,Houston,Wainwright,2023-07-10,1715,2023-07-24,1255
2023-07-08,2023-07-10,Madison,Ferguson,2023-07-10,1630,2023-07-24,800
2023-07-09,2023-07-12,Fort Bend,Scott,2023-07-12,1618,2023-07-21,1800
2023-07-09,2023-07-12,Fort Bend,Jester III,2023-07-12,1618,2023-07-21,1800
2023-07-09,2023-07-12,Fort Bend,Vance,2023-07-12,1618,2023-07-21,1800
2023-07-10,2023-07-12,Duval,Glossbrenner,2023-07-12,1730,2023-07-21,1213
2023-07-11,2023-07-13,Dewitt,Stevenson,2023-07-13,1700,2023-07-25,900
2023-07-11,2023-07-13,Pecos,Lynaugh,2023-07-13,1700,2023-07-16,1700
2023-07-11,2023-07-13,Pecos,Ft. Stockton,2023-07-13,1700,2023-07-16,1700
2023-07-11,2023-07-13,Bexar,Dominguez,2023-07-13,1500,2023-07-15,1630
2023-07-12,2023-07-15,Jefferson,Stiles,2023-07-15,1400,2023-07-24,1700
2023-07-12,2023-07-15,Jefferson,LeBlanc,2023-07-15,1400,2023-07-24,1700
2023-07-12,2023-07-15,Jefferson,Gist,2023-07-15,1400,2023-07-24,1700
2023-07-12,2023-07-15,Brown,Havins,2023-07-15,1630,2023-07-24,1130
2023-07-12,2023-07-15,Falls,Hobby,2023-07-15,1630,2023-07-21,0945
2023-07-12,2023-07-15,Falls,Marlin,2023-07-15,1630,2023-07-21,0945
2023-07-16,2023-07-19,Burnet,Halbert ,2023-07-19,1640,2023-08-16,1414
2023-07-17,2023-07-19,El Paso,Sanchez,2023-07-19,1630,2023-07-21,2130
2023-07-17,2023-07-20,Stephens,Sayle,2023-07-20,1830,2023-08-30,2000
2023-07-30,2023-08-02,Angelina,Duncan,2023-08-02,0800,2023-08-28,1700
2023-07-30,2023-08-02,Jasper,Goodman,2023-08-02,0900,2023-08-28,1700
2023-07-30,2023-08-02,Madison,Ferguson,2023-08-02,0900,2023-08-28,1700
2023-07-30,2023-08-02,Houston,Wainwright,2023-08-02,0900,2023-08-28,1700
2023-07-30,2023-08-02,Walker,Byrd,2023-08-02,0900,2023-08-28,1700
2023-07-30,2023-08-02,Walker,Holliday,2023-08-02,0900,2023-08-28,1700
2023-07-30,2023-08-02,Walker,Huntsville,2023-08-02,0900,2023-08-28,1700
2023-08-02,2023-08-02,Walker,Estelle,2023-08-02,0900,2023-08-28,1700
2023-08-02,2023-08-02,Walker,Goree,2023-08-02,0900,2023-08-28,1700
2023-08-02,2023-08-02,Walker,Wynne,2023-08-02,0900,2023-08-28,1700
2023-08-02,2023-08-02,Polk,Polunsky,2023-08-02,0900,2023-08-28,1700
2023-08-02,2023-08-02,Tyler,Lewis,2023-08-02,0916,2023-08-28,1700
